time,cpu,freq_hz,package
204,55,2799998.0,1
204,56,2799943.0,1
204,57,2800000.0,1
204,58,2800055.0,1
204,59,2799999.0,1
204,60,2799999.0,1
204,61,2799999.0,1
204,62,2800001.0,1
204,63,2800000.0,1
207,0,2800001.0,0
207,1,2820971.0,0
207,2,2800007.0,0
207,3,2799911.0,0
207,4,2799992.0,0
207,5,2799999.0,0
207,6,2799979.0,0
207,7,2799984.0,0
207,8,2769816.0,0
207,9,2799997.0,0
207,10,2799979.0,0
207,11,2800009.0,0
207,12,2799999.0,0
207,13,2766397.0,0
207,14,2799928.0,0
207,15,2755451.0,0
207,16,2800000.0,1
207,17,2799893.0,1
207,18,2799902.0,1
207,19,2799940.0,1
207,20,2800011.0,1
207,21,2800023.0,1
207,22,2799999.0,1
207,23,2799999.0,1
207,24,2799999.0,1
207,25,2799900.0,1
207,26,2800000.0,1
207,27,2800049.0,1
207,28,2800000.0,1
207,29,2799999.0,1
207,30,2799999.0,1
207,31,2799999.0,1
207,32,2799917.0,0
207,33,2799919.0,0
207,34,3011820.0,0
207,35,2799992.0,0
207,36,2799986.0,0
207,37,2800000.0,0
207,38,2799995.0,0
207,39,2800004.0,0
207,40,3001716.0,0
207,41,2981899.0,0
207,42,2799877.0,0
207,43,2839307.0,0
207,44,2980861.0,0
207,45,2719653.0,0
207,46,2799909.0,0
207,47,2731965.0,0
207,48,2799995.0,1
207,49,2800000.0,1
207,50,2799999.0,1
207,51,2800000.0,1
207,52,2800000.0,1
207,53,2800000.0,1
207,54,2800001.0,1
207,55,2800019.0,1
207,56,2800001.0,1
207,57,2800000.0,1
207,58,2802819.0,1
207,59,2799999.0,1
207,60,2799999.0,1
207,61,2799999.0,1
207,62,2799998.0,1
207,63,2799999.0,1
210,0,1792084.0,0
210,1,2773465.0,0
210,2,2592543.0,0
210,3,2825785.0,0
210,4,2036031.0,0
210,5,1758200.0,0
210,6,2603448.0,0
210,7,2792056.0,0
210,8,2846922.0,0
210,9,2663400.0,0
210,10,1186658.0,0
210,11,2471401.0,0
210,12,2681038.0,0
210,13,2585570.0,0
210,14,2608578.0,0
210,15,2756176.0,0
210,16,2800003.0,1
210,17,2800000.0,1
210,18,2799880.0,1
210,19,2800000.0,1
210,20,2800031.0,1
210,21,2800069.0,1
210,22,2799997.0,1
210,23,2800001.0,1
210,24,2800000.0,1
210,25,2800159.0,1
210,26,2800000.0,1
210,27,2800091.0,1
210,28,2799893.0,1
210,29,2805984.0,1
210,30,2795614.0,1
210,31,2800851.0,1
210,32,2268773.0,0
210,33,2634112.0,0
210,34,1121459.0,0
210,35,2774404.0,0
210,36,2774378.0,0
210,37,1747020.0,0
210,38,2788003.0,0
210,39,1895846.0,0
210,40,1166652.0,0
210,41,1607607.0,0
210,42,2618458.0,0
210,43,2783678.0,0
210,44,2748741.0,0
210,45,2803026.0,0
210,46,1965991.0,0
210,47,2432779.0,0
210,48,2799994.0,1
210,49,2800095.0,1
210,50,2800000.0,1
210,51,2800086.0,1
